row.names	refseq	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1	subsys4	subsys1	subsys2	subsys3
12	12	1208297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Inosine-5-monophosphate dehydrogenase (EC 1.1.1.205)			
13	1296164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Putative antibiotic transport-associated protein				
14	974631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Phage head-to-tail joining protein				
15	611847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Two-component sensor histidine kinase BceS				
16	2174074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FIG022199: FAD-binding protein				
17	945734	0	2	4	0	0	0	0	0	0	0	338	0	0	234	0	0	0	55	12	0	Conserved hypothetical TPR repeat protein, clustered with yghQ				
18	733676	0	0	0	0	0	1	0	4	224	0	0	0	0	0	0	0	0	0	0	0	Predicted L-fucose-specific phosphotransferase system, EIIB component				
19	22537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cyclopropane-fatty-acyl-phospholipid synthase-like protein, clusters with FIG005069				
20	1280241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Transmembrane component of energizing module of ECF transporters in Mycobacteria				
21	782818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Beta-lysine acetyltransferase (EC 2.3.1.-)				
22	2012581	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	7	0	7	DegV family protein in cluster with TrmH family tRNA/rRNA methyltransferase YacO				
23	1985818	0	1	0	6	1	3	3	2	4	3	0	3	0	2	0	0	1	7	0	0	Negative regulator of genetic competence MecA				
24	1698839	0	19	2	7	4	2	14	1	193	25	0	0	1	0	4	1	13	0	3	0	Phage tape measure				
25	1923791	0	0	1	0	0	2	0	0	0	0	30	0	0	34	0	0	0	2	0	0	Antiholin-like protein LrgA				
26	1943201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ABC-type tungstate transport system, permease protein				
27	1249288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Possible colicin V production protein				
28	951311	0	0	0	0	1	1	0	0	0	0	24	0	0	12	0	0	0	12	0	0	Phage tail assembly protein I				
29	1258012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TldD protein, part of proposed TldE/TldD proteolytic complex (PMID 12029038)				
30	1616631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)				
31	1358989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	Strepotococcal cysteine protease (Streptopain) (EC 3.4.22.10)				
32	1238289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Protein export cytoplasm protein SecA2 ATPase RNA helicase (TC 3.A.5.1.1)				
33	1161657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DNA repair protein RecN				
34	1454248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Internalin-like protein (LPXTG motif) Lmo0171 homolog				
35	446919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cytochrome c-type biogenesis protein CcsA/ResC				
36	1601563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4-oxalocrotonate tautomerase (EC 5.3.2.-)				
37	1079982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Coenzyme F420-dependent oxidoreductase				
38	511121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Glutamyl-tRNA reductase (EC 1.2.1.70)				
39	834070	0	0	63	0	0	0	0	0	0	0	0	0	0	1952	0	0	0	0	0	0	Additional periplasmic component NikK of nickel ECF transporter				
40	1175497	0	14	49	13	36	109	0	0	201	35	625	4	1	111	40	11	42	543	0	4	Transcriptional repressor of arabinoside utilization operon, GntR family				
41	1705847_Ruminococcus_HF987481.1|CCX83306.1	238	322	510	0	263	742	908	636	71	387	19	114	296	0	57	16	96	960	8	0	Glutamate 5-kinase (EC 2.7.2.11)				
42	594798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Heme oxygenase (EC 1.14.99.3)				
43	1537579	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	1	0	0	0	0	Thiamin biosynthesis protein ThiC				
44	1595140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nitrogenase FeMo-cofactor carrier protein NifX				
45	1404738	0	1	2	0	0	0	0	1	1	0	0	0	0	8	0	0	0	395	33	0	Isoaspartyl dipeptidase (EC 3.4.19.5)				
46	438722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Arginine N-succinyltransferase, alpha subunit (EC 2.3.1.109)				
47	39588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	regulator protein,AreR				
48	1708781_Ruminococcus_DS264294.1|EDM85696.1	97	184	622	48	197	201	54	79	1229	221	59	172	362	0	73	0	55	1	547	34	Predicted trehalose ABC transporter, permease component 2, Archaea-type				
49	1312802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Lin2022 protein				
50	1078344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)				
51	1469050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Phosphorelay protein LuxU				
52	2174866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sigma-54 dependent transcriptional regulator				
53	1588954	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Multidrug efflux transporter MexF				
54	1738732	0	0	1	0	3	4	0	0	0	0	25	0	1	187	0	0	3	181	0	403	Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-)				
55	972715	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	YjbE secreted protein				
56	1591687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Iron-siderophore [Alcaligin-like] ferric reductase (1.6.99.14)				
57	357431	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4-phosphopantetheinyl transferase of FASI (EC 2.7.8.7)				
58	13	1922232	0	0	2	0	0	3	0	0	0	0	9	0	0	76	0	0	0	2	6	0	Outer membrane porin protein NmpC precursor			
59	14	873620_Eggerthella_CP001726.1|ACV56107.1	4	1	6	3	93	14	47	1	7	10	196	0	13	9	0	0	14	237	7	169	Very-short-patch mismatch repair endonuclease (G-T specific)			
60	15	963706	0	1	0	0	0	10	0	0	0	0	76	0	0	1	1	0	0	0	0	0	Fimbriae usher protein StcC			
61	16	1400409	0	0	0	0	0	0	0	0	0	0	0	77	0	0	85	43	0	105	2	0	Methionine transporter MetT			
62	17	1204176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	Putative peptidoglycan bound protein (LPXTG motif) Lmo2179 homolog			
63	18	1960528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pH adaption potassium efflux system protein PhaE			
64	19	2066401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hypothetical protein DUF454			
65	20	1746359	0	0	0	0	322	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0	Endo-beta-1,3-1,4 glucanase (Licheninase) (EC 3.2.1.73)			
66	21	2022589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Putative signal peptidase I (EC 3.4.21.89)			
67	22	1251498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Legionaminic acid synthase (EC 2.5.1.56)			
68	23	1789772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ABC-type hemin transport system, ATPase component			
69	24	537133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LSU ribosomal protein L19p			
70	25	1580036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	putative type III secretion protein YscX			
71	26	1137992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	YjeF protein, function unknown			
72	27	843082_Dorea_DS264405.1|EDM62112.1	124	70	350	0	987	711	80	180	177	317	299	411	529	1	66	134	1	1	1417	1401	Ribosome small subunit-stimulated GTPase EngC			
73	28	130403	0	37	18	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	Probable L-ascorbate-6-phosphate lactonase UlaG (EC 3.1.1.-) (L-ascorbate utilization protein G)			
74	29	1782884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Methyl-accepting chemotaxis protein co-located with beta-glucan transporter system			
75	30	38928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [bacillibactin] siderophore			
76	31	1962274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PpaA, heme-binding SCHIC domain sensory protein, regulator for photosystem formation			
77	32	77297_Alistipes_AENZ01000009.1|EFR58939.1	45	5	12	22	16	8	34	0	2	387	9	10	0	0	0	1	0	0	0	0	Glucose-6-phosphate isomerase (EC 5.3.1.9)			
78	33	245305_Bacteroides_GG705150.1|EEY83341.1	2	0	0	5	0	1	0	5	1	6	1	0	0	2	0	1	0	0	0	0	DNA-binding protein HU-beta			
79	34	968774	0	0	0	0	0	16	0	0	0	0	360	0	0	80	0	0	1	0	0	0	IncF plasmid conjugative transfer protein TrbD			
80	35	1980765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)			
81	36	2161438	0	7	0	1	0	0	0	0	0	22	0	2	3	0	13	0	0	0	0	0	Pyrimidine-nucleoside phosphorylase (EC 2.4.2.2)			
82	37	1409706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Magnetosome protein MamF			
83	38	2060799	0	0	0	0	0	2	0	0	1	0	0	2	0	0	4	0	0	0	1	0	Negative transcriptional regulator-copper transport operon			
84	39	938637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Putative Zn-dependent hydrolase in polyisoprenoid biosynthetic cluster			
85	40	886838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Succinate dehydrogenase cytochrome b-556 subunit			
86	41	1473119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ABC-type transport system involved in resistance to organic solvents, periplasmic component USSDB6C			
87	42	81088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COG1355, Predicted dioxygenase			
88	43	1451040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sensory histidine kinase BaeS			
89	44	2190909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N-3-oxohexanoyl-L-homoserine lactone synthase			
90	45	1858646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Tyrosine-specific transport protein			
91	46	2075591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Streptopain inhibitor			
92	47	2001413	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	Coenzyme PQQ synthesis protein E			
93	48	1193912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HTH-type transcriptional regulator YtlI, LysR family			
94	49	753483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Alpha-1,4-N-acetylgalactosamine transferase PglH (EC 2.4.1.-)			
95	50	1209971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)			
96	51	943157	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	Phenylacetate degradation enoyl-CoA hydratase PaaB (EC 4.2.1.17)			
97	52	289173_Bacteroides_EQ973360.1|EEO56059.1	76	36	0	14	0	277	283	50	78	467	31	36	27	511	236	15	2	64	0	0	Internalin A (LPXTG motif)			
98	53	1906425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Protease III precursor (EC 3.4.24.55)			
99	54	520743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Glutamate synthase, alpha subunit domain protein			
100	55	896549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chaperone FimC			
101	56	762164	0	0	0	0	96	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	Nitric oxide reductase activation protein NorQ			
102	57	2085098	0	0	0	0	0	0	4	0	0	6	2	2	5	0	5	0	1	15	0	1	Putative secretion accessory protein EsaB/YukD			
103	58	890163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sensor protein PhoQ (EC 2.7.13.3)			
104	59	1788230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L-Aspartate dehydrogenase (EC 1.4.1.21)			
105	60	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Protein of unknown function DUF1009 clustered with KDO2-Lipid A biosynthesis genes			
106	61	1637672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DNA polymerase-like protein PA0670			
107	62	1958986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Polysialic acid capsule sugar isomerase, KpsF/GutQ family			
108	63	1895096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Predicted sugar ABC transport system, ATP-binding protein YphE			
109	64	1577609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Anthranilate synthase, amidotransferase component (EC 4.1.3.27) [PQS biosynthesis]			
110	65	1284761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RD1 region associated protein Rv3867			
111	66	1175995_Lachnospiraceae_GL622434.1|EFV15172.1	16	20	18	16	18	4	67	0	14	59	35	19	64	22	4	3	24	2	43	89	Spore germination protein GerLC			
112	67	1399451	0	0	0	0	0	0	0	0	0	0	0	19	0	0	28	18	0	40	0	0	Flavodoxin 1			
113	68	107343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Zinc ABC transporter, ATP-binding protein ZnuC			
114	69	2201991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GMP reductase (EC 1.7.1.7)			
115	70	1850102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Predicted flavin reductase RutF in novel pyrimidine catabolism pathway			
116	71	1932229	0	1	0	0	0	0	0	1	0	0	9	0	0	21	0	0	0	0	0	0	Colanic acid biosynthsis UDP-glucose lipid carrier transferase WcaJ			
117	72	1717272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Uncharacterized spore germination protein YndF			
118	73	1137876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Di/tripeptide permease YbgH			
119	74	811299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	VapC toxin protein			
120	75	1301230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pup ligase PafA paralog, possible component of postulated heterodimer PafA-PafA			
121	76	721957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ribonuclease E (EC 3.1.26.12)			
122	77	605910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)			
123	78	525959_Clostridiales_BAHU02000017.1_Clostridiales_bacterium_VE202-07_DNA,_contig:_VE202-07_contig00017,_whole_genome_shotgun_sequence|orf00041	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	9	3	36	TRAP-type transport system, periplasmic component, predicted N-acetylneuraminate-binding protein			
124	79	1283852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Transcription regulator in CO-DH cluster			
125	80	1242109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Methionine repressor MetJ			
126	81	762722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2 (as in PMID19099556)			
127	82	2173291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Kynurenine 3-monooxygenase (EC 1.14.13.9)			
128	83	896509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F)			
129	84	465407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D-galactarate dehydratase (EC 4.2.1.42)			
130	85	946288	0	0	0	0	0	12	0	0	0	0	20	0	0	21	0	0	0	4	1	0	Hypothetical zinc-type alcohol dehydrogenase-like protein YphC			
131	86	1840259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)			
132	87	449212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF			
133	88	1279416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [bacillibactin] siderophore			
134	89	914539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Propionate catabolism operon regulatory protein PrpR			
135	90	1300902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)			
136	91	1982289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Periplasmic aromatic aldehyde oxidoreductase, molybdenum binding subunit YagR			
137	92	953553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Shiga-like toxin II subunit A precursor (EC 3.2.2.22)			
138	93	1404731	0	1	0	5	0	0	0	0	2	0	0	0	0	79	0	0	0	298	17	0	Radical SAM family enzyme, similar to coproporphyrinogen III oxidase, oxygen-independent, clustered with nucleoside-triphosphatase RdgB			
139	94	885137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Alkylhydroperoxidase protein D			
140	95	1088159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Dimeric dUTPase (EC 3.6.1.23)			
141	96	888722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IgG-binding protein SBI			
142	97	1283106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Isovaleryl-CoA dehydrogenase (EC 1.3.99.10)			
143	98	958245	0	1	0	0	0	0	1	0	0	0	8	0	0	21	0	0	0	0	1	1	Curli production assembly/transport component CsgE			
144	99	436544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Glutathione S-transferase, unnamed subgroup 2 (EC 2.5.1.18)			
145	100	946587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)			
146	101	1836494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Streptothricin acetyltransferase, Streptomyces lavendulae type			
147	102	522549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nickel transporter UreH			
148	103	1897115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue copper oxidase CueO precursor			
149	104	1875930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Putrescine importer			
150	105	1783475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mannitol operon activator, BglG family			
151	106	1543752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Arginine/ornithine ABC transporter, permease protein AotQ			
152	107	782832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)			
153	108	1289482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enoyl coenzyme A hydratase IgrE			
154	109	582576	0	0	0	0	0	0	1	0	0	0	351	0	0	211	0	0	6	11	1	322	Possible alpha-xyloside ABC transporter, permease component			
155	110	986716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RNA polymerase sporulation specific sigma factor SigF			
156	111	524901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Phage-encoded chromosome degrading nuclease YokF			
157	112	885952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tRNA dihydrouridine synthase A (EC 1.-.-.-)			
158	113	2146410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Respiratory nitrate reductase gamma chain (EC 1.7.99.4)			
159	114	2200854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Phenazine-specific methyltransferase PhzM			
160	115	1577155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	benABC operon transcriptional activator BenR			
161	116	922249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NAD-dependent formate dehydrogenase beta subunit			
162	117	986959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Carboxysome protein CcmM			
163	118	1824234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2-Oxobutyrate oxidase, putative			
164	119	1933786	0	2	0	0	0	18	0	1	0	0	175	0	0	127	0	0	0	16	2	2	Predicted L-serine dehydratase (EC 4.3.1.17) TdcG			
165	120	1856912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Positive transcription regulator EvgA			
166	121	308391_Bacteroides_ADKO01000069.1|EFG17845.1	227	11	0	2	12	2	42	417	185	2242	97	19	494	1	85	2	1	12	26	3	Alpha-glucosidase, family 31 of glycosyl hydrolases, COG1501			
167	122	620248	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Butyrate kinase (EC 2.7.2.7)			
168	123	1407748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MSHA biogenesis protein MshE			
169	124	1587506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ATP-dependent DNA helicase UvrD/PcrA/Rep family, Francisella type			
170	125	64654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Asp-X dipeptidase			
171	126	1799666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2-keto-3-deoxy-L-fuconate dehydrogenase			
172	127	1698240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ABC transporter permease protein YvcS			
173	128	1148031_Intestinimonas_JPJD01000036.1_Intestinimonas_butyriciproducens_strain_ER1_contig_36,_whole_genome_shotgun_sequence|orf00011	3	4	2	0	1	3	3	1	6	0	42	0	8	4	1	0	1	17	0	0	Butyrate-acetoacetate CoA-transferase subunit A (EC 2.8.3.9)			
174	129	2118162	0	1	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	8	0	0	Glycerol dehydratase reactivation factor large subunit			
175	130	373098_Bifidobacterium_GG666850.1|EEI80572.1	1	0	5	0	17	0	0	6	0	79	3	2	0	0	0	11	0	0	3	22	6 kDa early secretory antigenic target ESAT-6 (EsxA)			
176	131	571394_Clostridium_JH376420.1|EHE99819.1	10	0	0	1	0	0	3	1	5	1	9	3	0	0	1	1	1	0	1	0	Hydroxybenzoyl-CoA reductase subunit			
177	132	70709_Alistipes_AENZ01000021.1|EFR58406.1	10	0	6	10	2	4	9	0	0	196	9	4	1	0	0	2	0	0	0	0	Thymidine kinase (EC 2.7.1.21)			
178	133	135037_Bacteroides_BAJA01000073.1_Bacteroides_nordii_WAL_11050_=_JCM_12987_DNA,_contig:_JCM12987.contig00073,_whole_genome_shotgun_sequence|orf00039	183	4	0	0	0	0	0	0	1	0	14	0	0	0	6	0	0	0	0	0	Conjugative transposon protein TraJ			
179	134	831248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Putative Desferrioxamine E transporter			
