refseq	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1	subsys4	subsys1	subsys2	subsys3
974631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Phage head-to-tail joining protein	Phages, Prophages, Transposable elements	Bacteriophage structural proteins	Phage_capsid_proteins
2174074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FIG022199: FAD-binding protein	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
611847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Two-component sensor histidine kinase BceS	Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Bacitracin_Stress_Response
733676	0	0	0	0	0	1	0	4	224	0	0	0	0	0	0	0	0	0	0	0	Predicted L-fucose-specific phosphotransferase system, EIIB component	Carbohydrates	Monosaccharides	L-fucose_utilization
22537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cyclopropane-fatty-acyl-phospholipid synthase-like protein, clusters with FIG005069	Clustering-based subsystems	NA	CBSS-291331.3.peg.3674
1280241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Transmembrane component of energizing module of ECF transporters in Mycobacteria	Membrane Transport	NA	ECF_class_transporters
782818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Beta-lysine acetyltransferase (EC 2.3.1.-)	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation
1985818	0	1	0	6	1	3	3	2	4	3	0	3	0	2	0	0	1	7	0	0	Negative regulator of genetic competence MecA	DNA Metabolism	DNA uptake, competence	Gram_Positive_Competence
2012581	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	7	0	7	DegV family protein in cluster with TrmH family tRNA/rRNA methyltransferase YacO	Miscellaneous	Plant-Prokaryote DOE project	Conserved_gene_cluster_possibly_involved_in_RNA_metabolism
1943201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ABC-type tungstate transport system, permease protein	Membrane Transport	ABC transporters	ABC_transporter_tungstate_(TC_3.A.1.6.2)
1923791	0	0	1	0	0	2	0	0	0	0	30	0	0	34	0	0	0	2	0	0	Antiholin-like protein LrgA	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein_hydrolase_regulation_and_cell_death
1698839	0	19	2	7	4	2	14	1	193	25	0	0	1	0	4	1	13	0	3	0	Phage tape measure	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage_tail_proteins_2
1249288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Possible colicin V production protein	Clustering-based subsystems	Recombination related cluster	CBSS-198094.1.peg.4426
951311	0	0	0	0	1	1	0	0	0	0	24	0	0	12	0	0	0	12	0	0	Phage tail assembly protein I	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage_tail_proteins_2
1258012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TldD protein, part of proposed TldE/TldD proteolytic complex (PMID 12029038)	Clustering-based subsystems	TldD cluster	CBSS-354.1.peg.2917
1616631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	Carbohydrates	Monosaccharides	D-galactarate,_D-glucarate_and_D-glycerate_catabolism
1358989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	Strepotococcal cysteine protease (Streptopain) (EC 3.4.22.10)	Regulation and Cell signaling	Regulation of virulence	SpeB-SpeF_extended_regulon
1238289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Protein export cytoplasm protein SecA2 ATPase RNA helicase (TC 3.A.5.1.1)	Clustering-based subsystems	Protein export?	CBSS-393121.3.peg.2760
1161657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DNA repair protein RecN	DNA Metabolism	DNA repair	DNA_repair,_bacterial
1454248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Internalin-like protein (LPXTG motif) Lmo0171 homolog	Virulence, Disease and Defense	Invasion and intracellular resistance	Listeria_surface_proteins:_Internalin-like_proteins
446919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cytochrome c-type biogenesis protein CcsA/ResC	Respiration	NA	Biogenesis_of_c-type_cytochromes
1601563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4-oxalocrotonate tautomerase (EC 5.3.2.-)	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Central_meta-cleavage_pathway_of_aromatic_compound_degradation
1079982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Coenzyme F420-dependent oxidoreductase	Respiration	Electron accepting reactions	Anaerobic_respiratory_reductases
511121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Glutamyl-tRNA reductase (EC 1.2.1.70)	Clustering-based subsystems	Ribosome-related cluster	A_Gammaproteobacteria_Cluster_Relating_to_Translation
834070	0	0	63	0	0	0	0	0	0	0	0	0	0	1952	0	0	0	0	0	0	Additional periplasmic component NikK of nickel ECF transporter	Membrane Transport	NA	Transport_of_Nickel_and_Cobalt
1175497	0	14	49	13	36	109	0	0	201	35	625	4	1	111	40	11	42	543	0	4	Transcriptional repressor of arabinoside utilization operon, GntR family	Carbohydrates	Monosaccharides	L-Arabinose_utilization
1705847_Ruminococcus_HF987481.1|CCX83306.1	238	322	510	0	263	742	908	636	71	387	19	114	296	0	57	16	96	960	8	0	Glutamate 5-kinase (EC 2.7.2.11)	Miscellaneous	Plant-Prokaryote DOE project	Iojap
1537579	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	1	0	0	0	0	Thiamin biosynthesis protein ThiC	Miscellaneous	Plant-Prokaryote DOE project	COG2363
594798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Heme oxygenase (EC 1.14.99.3)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Bilin_Biosynthesis
1595140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nitrogenase FeMo-cofactor carrier protein NifX	Nitrogen Metabolism	NA	Nitrogen_fixation
1404738	0	1	2	0	0	0	0	1	1	0	0	0	0	8	0	0	0	395	33	0	Isoaspartyl dipeptidase (EC 3.4.19.5)	Protein Metabolism	Protein degradation	Protein_degradation
438722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Arginine N-succinyltransferase, alpha subunit (EC 2.3.1.109)	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation
39588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	regulator protein,AreR	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Salicylate_and_gentisate_catabolism
1312802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Lin2022 protein	Clustering-based subsystems	Clustering-based subsystems	CBSS-280355.3.peg.2835
1708781_Ruminococcus_DS264294.1|EDM85696.1	97	184	622	48	197	201	54	79	1229	221	59	172	362	0	73	0	55	1	547	34	Predicted trehalose ABC transporter, permease component 2, Archaea-type	Carbohydrates	Di- and oligosaccharides	Trehalose_Uptake_and_Utilization
1078344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism
1469050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Phosphorelay protein LuxU	Regulation and Cell signaling	Quorum sensing and biofilm formation	Quorum-sensing_in_Vibrio
2174866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sigma-54 dependent transcriptional regulator	Membrane Transport	Protein secretion system, Type VI	Type_VI_secretion_systems
1588954	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Multidrug efflux transporter MexF	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	MexE-MexF-OprN_Multidrug_Efflux_System
1738732	0	0	1	0	3	4	0	0	0	0	25	0	1	187	0	0	3	181	0	403	Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-)	Respiration	Electron donating reactions	Na(+)-translocating_NADH-quinone_oxidoreductase_and_rnf-like_group_of_electron_transport_complexes
972715	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	YjbE secreted protein	Cell Wall and Capsule	Capsular and extracellular polysacchrides	YjbEFGH_Locus_Involved_in_Exopolysaccharide_Production
1591687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Iron-siderophore [Alcaligin-like] ferric reductase (1.6.99.14)	Iron acquisition and metabolism	Siderophores	Siderophore_[Alcaligin-like]
357431	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4'-phosphopantetheinyl transferase of FASI (EC 2.7.8.7)	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASI
1922232	0	0	2	0	0	3	0	0	0	0	9	0	0	76	0	0	0	2	6	0	Outer membrane porin protein NmpC precursor	Stress Response	Detoxification	Uptake_of_selenate_and_selenite
873620_Eggerthella_CP001726.1|ACV56107.1	4	1	6	3	93	14	47	1	7	10	196	0	13	9	0	0	14	237	7	169	Very-short-patch mismatch repair endonuclease (G-T specific)	DNA Metabolism	DNA repair	DNA_repair,_bacterial
963706	0	1	0	0	0	10	0	0	0	0	76	0	0	1	1	0	0	0	0	0	Fimbriae usher protein StcC	Carbohydrates	NA	Unknown_carbohydrate_utilization_(_cluster_Yeg_)
1400409	0	0	0	0	0	0	0	0	0	0	0	77	0	0	85	43	0	105	2	0	Methionine transporter MetT	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis
2066401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hypothetical protein DUF454	Iron acquisition and metabolism	NA	Heme,_hemin_uptake_and_utilization_systems_in_GramPositives
1204176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	Putative peptidoglycan bound protein (LPXTG motif) Lmo2179 homolog	Virulence, Disease and Defense	Invasion and intracellular resistance	Listeria_surface_proteins:_LPXTG_motif
1960528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pH adaption potassium efflux system protein PhaE	Potassium metabolism	NA	pH_adaptation_potassium_efflux_system
1746359	0	0	0	0	322	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0	Endo-beta-1,3-1,4 glucanase (Licheninase) (EC 3.2.1.73)	Carbohydrates	Di- and oligosaccharides	Beta-Glucoside_Metabolism
1251498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Legionaminic acid synthase (EC 2.5.1.56)	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Legionaminic_Acid_Biosynthesis
2022589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Putative signal peptidase I (EC 3.4.21.89)	Clustering-based subsystems	Carbohydrates	Beta-lactamase_cluster_in_Streptococcus
537133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LSU ribosomal protein L19p	Protein Metabolism	Protein biosynthesis	Ribosome_LSU_bacterial
1789772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ABC-type hemin transport system, ATPase component	Iron acquisition and metabolism	Siderophores	Siderophore_assembly_kit
1580036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	putative type III secretion protein YscX	Clustering-based subsystems	Type III secretion system, extended	Type_III_secretion_systems,_extended
1137992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	YjeF protein, function unknown	Cell Wall and Capsule	NA	YjeE
130403	0	37	18	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	Probable L-ascorbate-6-phosphate lactonase UlaG (EC 3.1.1.-) (L-ascorbate utilization protein G)	Carbohydrates	Monosaccharides	L-ascorbate_utilization_(and_related_gene_clusters)
843082_Dorea_DS264405.1|EDM62112.1	124	70	350	0	987	711	80	180	177	317	299	411	529	1	66	134	1	1	1417	1401	Ribosome small subunit-stimulated GTPase EngC	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins	A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins
38928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [bacillibactin] siderophore	Iron acquisition and metabolism	Siderophores	Bacillibactin_Siderophore
1782884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Methyl-accepting chemotaxis protein co-located with beta-glucan transporter system	Carbohydrates	Di- and oligosaccharides	Beta-Glucoside_Metabolism
1962274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PpaA, heme-binding SCHIC domain sensory protein, regulator for photosystem formation	Regulation and Cell signaling	NA	Oxygen_and_light_sensor_PpaA-PpsR
245305_Bacteroides_GG705150.1|EEY83341.1	2	0	0	5	0	1	0	5	1	6	1	0	0	2	0	1	0	0	0	0	DNA-binding protein HU-beta	DNA Metabolism	NA	DNA_structural_proteins,_bacterial
77297_Alistipes_AENZ01000009.1|EFR58939.1	45	5	12	22	16	8	34	0	2	387	9	10	0	0	0	1	0	0	0	0	Glucose-6-phosphate isomerase (EC 5.3.1.9)	Carbohydrates	Central carbohydrate metabolism	Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes
1980765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)	Protein Metabolism	Protein biosynthesis	tRNA_aminoacylation,_Asp_and_Asn
968774	0	0	0	0	0	16	0	0	0	0	360	0	0	80	0	0	1	0	0	0	IncF plasmid conjugative transfer protein TrbD	Virulence	Type III, Type IV, Type VI, ESAT secretion systems	Type_4_secretion_and_conjugative_transfer
2161438	0	7	0	1	0	0	0	0	0	22	0	2	3	0	13	0	0	0	0	0	Pyrimidine-nucleoside phosphorylase (EC 2.4.2.2)	Nucleosides and Nucleotides	Pyrimidines	pyrimidine_conversions
1409706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Magnetosome protein MamF	Miscellaneous	NA	Magnetosome_Biomineralization_and_Function
2060799	0	0	0	0	0	2	0	0	1	0	0	2	0	0	4	0	0	0	1	0	Negative transcriptional regulator-copper transport operon	Virulence	Resistance to antibiotics and toxic compounds	BlaR1_Family_Regulatory_Sensor-transducer_Disambiguation
938637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Putative Zn-dependent hydrolase in polyisoprenoid biosynthetic cluster	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Archaeal_lipids
886838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Succinate dehydrogenase cytochrome b-556 subunit	Respiration	Electron donating reactions	Succinate_dehydrogenase
1473119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ABC-type transport system involved in resistance to organic solvents, periplasmic component USSDB6C	Clustering-based subsystems	NA	USS-DB-6
81088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COG1355, Predicted dioxygenase	RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea
1451040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sensory histidine kinase BaeS	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	The_mdtABCD_multidrug_resistance_cluster
2190909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N-3-oxohexanoyl-L-homoserine lactone synthase	Regulation and Cell signaling	Quorum sensing and biofilm formation	Quorum_sensing_in_Yersinia
1858646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Tyrosine-specific transport protein	Miscellaneous	NA	ZZ_gjo_need_homes
2075591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Streptopain inhibitor	Regulation and Cell signaling	Regulation of virulence	SpeB-SpeF_extended_regulon
2001413	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	Coenzyme PQQ synthesis protein E	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Pyrroloquinoline_Quinone_biosynthesis
1193912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HTH-type transcriptional regulator YtlI, LysR family	Sulfur Metabolism	Organic sulfur assimilation	L-Cystine_Uptake_and_Metabolism
753483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Alpha-1,4-N-acetylgalactosamine transferase PglH (EC 2.4.1.-)	Virulence, Disease and Defense	NA	C_jejuni_colonization_of_chick_caeca
1209971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)	Cell Wall and Capsule	Gram-Positive cell wall components	Teichoic_and_lipoteichoic_acids_biosynthesis
943157	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	Phenylacetate degradation enoyl-CoA hydratase PaaB (EC 4.2.1.17)	Metabolism of Aromatic Compounds	NA	Phenylacetyl-CoA_catabolic_pathway_(core)
1906425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Protease III precursor (EC 3.4.24.55)	DNA Metabolism	DNA repair	DNA_repair,_bacterial_RecBCD_pathway
289173_Bacteroides_EQ973360.1|EEO56059.1	76	36	0	14	0	277	283	50	78	467	31	36	27	511	236	15	2	64	0	0	Internalin A (LPXTG motif)	Virulence, Disease and Defense	Invasion and intracellular resistance	Listeria_surface_proteins:_Internalin-like_proteins
520743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Glutamate synthase, alpha subunit domain protein	Nitrogen Metabolism	NA	Ammonia_assimilation
896549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chaperone FimC	Virulence	Adhesion	Type_1_pili_(mannose-sensitive_fimbriae)
762164	0	0	0	0	96	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	Nitric oxide reductase activation protein NorQ	Nitrogen Metabolism	NA	Denitrification
2085098	0	0	0	0	0	0	4	0	0	6	2	2	5	0	5	0	1	15	0	1	Putative secretion accessory protein EsaB/YukD	Membrane Transport	Protein translocation across cytoplasmic membrane	ESAT-6_proteins_secretion_system_in_Firmicutes
890163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sensor protein PhoQ (EC 2.7.13.3)	Cell Wall and Capsule	Gram-Negative cell wall components	Lipid_A_modifications
8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Protein of unknown function DUF1009 clustered with KDO2-Lipid A biosynthesis genes	Cell Wall and Capsule	Gram-Negative cell wall components	KDO2-Lipid_A_biosynthesis
1788230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L-Aspartate dehydrogenase (EC 1.4.1.21)	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD_and_NADP_cofactor_biosynthesis_global
1637672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DNA polymerase-like protein PA0670	DNA Metabolism	DNA repair	DNA_repair,_bacterial
1958986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Polysialic acid capsule sugar isomerase, KpsF/GutQ family	Clustering-based subsystems	Probably Ybbk-related hypothetical membrane proteins	CBSS-316057.3.peg.659
1895096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Predicted sugar ABC transport system, ATP-binding protein YphE	Carbohydrates	NA	Unknown_sugar_utilization_(cluster_yphABCDEFG)
1577609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Anthranilate synthase, amidotransferase component (EC 4.1.3.27) [PQS biosynthesis]	Regulation and Cell signaling	NA	Pseudomonas_quinolone_signal_PQS
1284761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RD1 region associated protein Rv3867	Membrane Transport	Protein translocation across cytoplasmic membrane	ESAT-6_proteins_secretion_system_in_Actinobacteria
1175995_Lachnospiraceae_GL622434.1|EFV15172.1	16	20	18	16	18	4	67	0	14	59	35	19	64	22	4	3	24	2	43	89	Spore germination protein GerLC	Dormancy and Sporulation	NA	Spore_germination
1399451	0	0	0	0	0	0	0	0	0	0	0	19	0	0	28	18	0	40	0	0	Flavodoxin 1	Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Flavodoxin
2201991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GMP reductase (EC 1.7.1.7)	Nucleosides and Nucleotides	Purines	Purine_conversions
107343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Zinc ABC transporter, ATP-binding protein ZnuC	Membrane Transport	NA	Transport_of_Zinc
1850102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Predicted flavin reductase RutF in novel pyrimidine catabolism pathway	Nucleosides and Nucleotides	Pyrimidines	Pyrimidine_utilization
1932229	0	1	0	0	0	0	0	1	0	0	9	0	0	21	0	0	0	0	0	0	Colanic acid biosynthsis UDP-glucose lipid carrier transferase WcaJ	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Colanic_acid_biosynthesis
1717272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Uncharacterized spore germination protein YndF	Dormancy and Sporulation	NA	Spore_germination
1137876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Di/tripeptide permease YbgH	Membrane Transport	Uni- Sym- and Antiporters	Proton-dependent_Peptide_Transporters
811299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	VapC toxin protein	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Toxin-antitoxin_systems_(other_than_RelBE_and_MazEF)
1301230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pup ligase PafA' paralog, possible component of postulated heterodimer PafA-PafA'	Protein Metabolism	Protein degradation	Proteasome_archaeal
721957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ribonuclease E (EC 3.1.26.12)	Protein Metabolism	Protein biosynthesis	Ribosome_biogenesis_bacterial
1283852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Transcription regulator in CO-DH cluster	Respiration	Electron donating reactions	CO_Dehydrogenase
605910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme_B12_biosynthesis
1242109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Methionine repressor MetJ	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis
