refseq_id	subsys4	subsys1	subsys2	subsys3
585610	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
2084186	Acyl carrier protein	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1259130	Dihydroxyacetone kinase family protein	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
2060791	Diacylglycerol kinase (EC 2.7.1.107)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1475804	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
475265	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1898009	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
195354	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
85378	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1996109	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
2231778	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1277514	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1501884	Phosphatidylserine decarboxylase (EC 4.1.1.65)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1404159	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1843357	Phosphatidylglycerophosphatase A (EC 3.1.3.27)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
67864	Phosphatidylglycerophosphatase B (EC 3.1.3.27)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1022245	Cardiolipin synthetase (EC 2.7.8.-)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
2118301	Alpha-glycerophosphate oxidase (EC 1.1.3.21)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1015195	Glycerol-1-phosphate dehydrogenase [NAD(P)] (EC 1.1.1.261)	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria
1810847	Possible divergent polysaccharide deacetylase	Clustering-based subsystems	NA	CBSS-224911.1.peg.435
1545918	FIG000735: Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-)	Clustering-based subsystems	NA	CBSS-224911.1.peg.435
638827	Carboxyl-terminal protease (EC 3.4.21.102)	Clustering-based subsystems	NA	CBSS-224911.1.peg.435
889636	Peptidase M23B precursor	Clustering-based subsystems	NA	CBSS-224911.1.peg.435
683461	Methanol:corrinoid methyltransferase	Carbohydrates	One-carbon Metabolism	Methanogenesis_from_methylated_compounds
802290	Methylcobalamin:coenzyme M methyltransferase, methanol-specific	Carbohydrates	One-carbon Metabolism	Methanogenesis_from_methylated_compounds
824524	Monomethylamine permease	Carbohydrates	One-carbon Metabolism	Methanogenesis_from_methylated_compounds
466872	Dimethylamine permease	Carbohydrates	One-carbon Metabolism	Methanogenesis_from_methylated_compounds
525184	Dimethylamine methyltransferase corrinoid protein	Carbohydrates	One-carbon Metabolism	Methanogenesis_from_methylated_compounds
1773203	Trimethylamine methyltransferase corrinoid protein	Carbohydrates	One-carbon Metabolism	Methanogenesis_from_methylated_compounds
1505655	Methylcobalamin:coenzyme M methyltransferase, methylamine-specific	Carbohydrates	One-carbon Metabolism	Methanogenesis_from_methylated_compounds
658510	Methylthiol:coenzyme M methyltransferase	Carbohydrates	One-carbon Metabolism	Methanogenesis_from_methylated_compounds
1118441	pyrrolysine-containing	Carbohydrates	One-carbon Metabolism	Methanogenesis_from_methylated_compounds
172353	F420H2:quinone oxidoreductase, 39 kDa subunit, putative	Respiration	Electron donating reactions	Respiratory_Complex_I
1302707	Hypothetical transmembrane protein coupled to NADH-ubiquinone oxidoreductase chain 5 homolog	Respiration	Electron donating reactions	Respiratory_Complex_I
625038	NAD(P)H-quinone oxidoreductase chain J (EC 1.6.5.2)	Respiration	Electron donating reactions	Respiratory_Complex_I
1292539	NAD(P)H-quinone oxidoreductase subunit 3 (EC 1.6.5.2)	Respiration	Electron donating reactions	Respiratory_Complex_I
1908856	NADH dehydrogenase subunit 2	Respiration	Electron donating reactions	Respiratory_Complex_I
536744	NADH dehydrogenase subunit 3	Respiration	Electron donating reactions	Respiratory_Complex_I
1380732	NADH dehydrogenase subunit 4L	Respiration	Electron donating reactions	Respiratory_Complex_I
1978433	NADH dehydrogenase, subunit 5	Respiration	Electron donating reactions	Respiratory_Complex_I
2212034	NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
1630709	NADH-quinone oxidoreductase chain F 2 (EC 1.6.99.5)	Respiration	Electron donating reactions	Respiratory_Complex_I
1500227	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
443022	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3) homolog	Respiration	Electron donating reactions	Respiratory_Complex_I
1616258	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
1940520	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
1620681	NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
973533	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
1815191	NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
21915	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
1127502	NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
1527168	NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
1338566	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
1894696	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
2240578	NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	Respiration	Electron donating reactions	Respiratory_Complex_I
887703	NADH:ubiquinone oxidoreductase 17.2 kD subunit	Respiration	Electron donating reactions	Respiratory_Complex_I
892311	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1210394	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
474356	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
983985	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1145017	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1138853	Pyruvate oxidase [ubiquinone, cytochrome] (EC 1.2.2.2)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1236246	Pyruvate oxidase (EC 1.2.3.3)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1906028	Phosphate acetyltransferase (EC 2.3.1.8)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
408052	Acetate kinase (EC 2.7.2.1)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1874920	Acylphosphate phosphohydrolase (EC 3.6.1.7), putative	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1882190	Pyruvate decarboxylase (EC 4.1.1.1)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1588515	Acetate permease ActP (cation/acetate symporter)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1933810	Putative membrane protein, clustering with ActP	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1242608	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
829761	Acetyl-CoA synthetase (ADP-forming) alpha chain (EC 6.2.1.13)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1353456	Acetyl-CoA synthetase (ADP-forming) alpha and beta chains, putative	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1284933	Protein acetyltransferase	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
582571	NAD-dependent protein deacetylase of SIR2 family	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1246563	Acetyltransferase AcuA, acetyl-CoA synthetase inhibitor	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1253443	NAD-independent protein deacetylase AcuC	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1258679	Aldehyde dehydrogenase (EC 1.2.1.3)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
2126472	Acetaldehyde dehydrogenase (EC 1.2.1.10)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1567677	Lactate 2-monooxygenase (EC 1.13.12.4)	Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate
1133854	Chaperone HdeA	Stress Response	Periplasmic Stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria
2225213	Chaperone HdeB	Stress Response	Periplasmic Stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria
2200652	Membrane transporter HdeD, H-NS repressed	Stress Response	Periplasmic Stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria
951230	Putative membrane transporter ATPase,YhiD	Stress Response	Periplasmic Stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria
958098	Transcriptional activator GadE	Stress Response	Periplasmic Stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria
1469440	Anti anti-sigma regulatory factor SypA	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1399518	Outer membrane protein SypB	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1472517	Periplasmic protein SypC involved in polysaccharide export	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1465965	Predicted protein SypD	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1470630	Response regulator SypE	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1312193	Signal transduction histidine kinase SypF	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
510559	Sigma-54 dependent transcriptional regulator SypG	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1466512	Glycosyltransferase (EC 2.4.1.-) SypH	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1468071	Glycosyltransferase (EC 2.4.1.-) SypI	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
803446	Glycosyltransferase (EC 2.4.1.-) SypJ	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1306477	Oligosaccharide translocase SypK	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1975699	Membrane protein SypL involved in exopolysaccharide production	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1464304	Acetyltransferase SypM	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1468351	Glycosyltransferase SypN	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1470730	Polysaccharide biosynthesis chain length regulator SypO	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
626634	Glycosyltransferase SypP	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1467855	Glycosyltransferase SypQ	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1466412	Sugar transferase SypR involved in lipopolysaccharide synthesis	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster
1298310	4-coumarate--CoA ligase 1 (EC 6.2.1.12)	Secondary Metabolism	Biosynthesis of phenylpropanoids	Lignine_biosynthesis
22786	Cinnamoyl-CoA reductase (EC 1.2.1.44)	Secondary Metabolism	Biosynthesis of phenylpropanoids	Lignine_biosynthesis
2095527	Paratox	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Prophage_lysogenic_conversion_modules
2106639	Phage hyaluronidase	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Prophage_lysogenic_conversion_modules
240169	Phage-associated cell wall hydrolase	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Prophage_lysogenic_conversion_modules
2026253	_Toximoron (Other)	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Prophage_lysogenic_conversion_modules
1542776	Alanyl-tRNA synthetase (EC 6.1.1.7)	Clustering-based subsystems	Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	CBSS-257314.1.peg.488
671505	Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	Clustering-based subsystems	Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	CBSS-257314.1.peg.488
905079	Putative Holliday junction resolvase (EC 3.1.-.-)	Clustering-based subsystems	Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	CBSS-257314.1.peg.488
1177374	Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
500886	Maltose/maltodextrin ABC transporter, permease protein MalF	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
516542	Maltose/maltodextrin ABC transporter, permease protein MalG	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1598015	Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
2066116	Multiple sugar ABC transporter, ATP-binding protein	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
911289	Maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1124292	Maltose operon periplasmic protein MalM	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1907291	Glycogen phosphorylase (EC 2.4.1.1)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
313440	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1335763	Transcriptional activator of maltose regulon, MalT	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
2039096	Maltose operon transcriptional repressor MalR, LacI family	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1997100	Maltodextrose utilization protein MalA	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1182968	Maltodextrin glucosidase (EC 3.2.1.20)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
298353	Alpha-glucosidase (EC 3.2.1.20)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
485758	Oligo-1,6-glucosidase (EC 3.2.1.10)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
779364	Neopullulanase (EC 3.2.1.135)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
984561	Periplasmic alpha-amylase (EC 3.2.1.1)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1508162	Beta-phosphoglucomutase (EC 5.4.2.6)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
924141	Maltose phosphorylase (EC 2.4.1.8)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1918941	Transcriptional regulator YcjW, LacI family, possibly involved in maltodextrin utilization pathway	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
958441	Putative oxidoreductase YcjS (EC 1.-.-.-), NADH-binding	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1910316	Sugar phosphate isomerases/epimerases family protein YcjR	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1596327	Zinc-type alcohol dehydrogenase YcjQ	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1923858	Putative sucrose phosphorylase (EC 2.4.1.7)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1590447	Inner membrane ABC transporter permease protein YcjP	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
947193	Inner membrane ABC transporter permease protein YcjO	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
412741	ABC-type sugar transport system, periplasmic binding protein YcjN	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
350283	Maltose regulon modulator	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
942541	PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
2090208	PTS system, maltose and glucose-specific IIA component (EC 2.7.1.69)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1874636	Maltose-6'-phosphate glucosidase (EC 3.2.1.122)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1827652	Maltose regulon regulatory protein MalI (repressor for malXY)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1907717	Malto-oligosyltrehalose synthase (EC 5.4.99.15)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
343153	Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
261499	Maltose O-acetyltransferase (EC 2.3.1.79)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
761110	Cytoplasmic alpha-amylase (EC 3.2.1.1)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1983148	Predicted maltose-specific TonB-dependent receptor	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1331144	Transcriptional regulator of maltose utilization, LacI family	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
175465	Predicted glucose transporter in maltodextrin utilization gene cluster	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
2172934	Predicted maltose transporter MalT	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
646033	Glucoamylase (EC 3.2.1.3)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
958347	Aldose 1-epimerase (EC 5.1.3.3)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
288082	Alpha-amylase (EC 3.2.1.1)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1769309	Maltodextrin phosphorylase (EC 2.4.1.1)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
717436	Pullulanase (EC 3.2.1.41)	Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization
1373169	HipA protein	Dormancy and Sporulation	NA	Persister_Cells
237176	HipB protein	Dormancy and Sporulation	NA	Persister_Cells
911887	Ribosome modulation factor	Dormancy and Sporulation	NA	Persister_Cells
899304	Cell division inhibitor	Dormancy and Sporulation	NA	Persister_Cells
1989667	Glutamate transport ATP-binding protein	Stress Response	Acid stress	Glutamate_transporter_involved_in_acid_tolerance_in_Streptococcus
2000947	Glutamate transport substrate-binding protein	Stress Response	Acid stress	Glutamate_transporter_involved_in_acid_tolerance_in_Streptococcus
2003222	Glutamate transport permease protein	Stress Response	Acid stress	Glutamate_transporter_involved_in_acid_tolerance_in_Streptococcus
346562	Glutamate transport membrane-spanning protein	Stress Response	Acid stress	Glutamate_transporter_involved_in_acid_tolerance_in_Streptococcus
121424	Glucokinase (EC 2.7.1.2)	Carbohydrates	Central carbohydrate metabolism	Glycolysis_and_Gluconeogenesis
1779358	Hexokinase (EC 2.7.1.1)	Carbohydrates	Central carbohydrate metabolism	Glycolysis_and_Gluconeogenesis
1277927	Polyphosphate glucokinase (EC 2.7.1.63)	Carbohydrates	Central carbohydrate metabolism	Glycolysis_and_Gluconeogenesis
77297	Glucose-6-phosphate isomerase (EC 5.3.1.9)	Carbohydrates	Central carbohydrate metabolism	Glycolysis_and_Gluconeogenesis
